,customer_id,gender,location,partner,dependents,senior,Tenure,monthly_cost,package,survey,Class
45,K8625,Female,Greater London,1,Unknown,0,17.0,nan,4,6,Churn=No
46,A1347,Female,West Midlands,0,1,0,20.0,nan,1,3,Churn=No
47,K6990,Female,Lancashire,0,Unknown,0,0.0,nan,1,No reply,Churn=Yes
48,E7161,Female,Merseyside,0,Unknown,0,4.0,nan,1,6,Churn=No
49,J2358,Female,West Midlands,1,Unknown,1,6.0,nan,2,4,Churn=Yes
50,K4890,Female,Essex,1,1,1,14.0,nan,2,1,Churn=Yes
51,K8797,Female,Greater London,1,Unknown,1,11.0,nan,2,No reply,Churn=Yes
52,D1371,Female,Greater Manchester,0,0,1,12.0,nan,3,5,Churn=No
53,I2563,Female,Merseyside,1,Unknown,0,5.0,nan,4,6,Churn=No
54,F5985,Female,Greater London,0,Unknown,0,13.0,nan,3,1,Churn=Yes
55,C3194,Female,Surrey,1,1,0,19.0,nan,3,5,Churn=No
56,H9036,Male,Greater London,1,1,0,12.0,nan,4,5,Churn=No
57,C6436,Male,Lancashire,0,Unknown,0,0.0,nan,4,8,Churn=Yes
58,I9635,Female,Staffordshire,1,0,0,7.0,nan,3,4,Churn=No
59,F7402,Female,Greater London,0,1,0,6.0,nan,1,1,Churn=No
60,J1663,Female,Greater London,1,Unknown,1,9.0,nan,2,4,Churn=No
61,F4756,Female,Greater Manchester,1,0,0,8.0,nan,4,9,Churn=No
62,D1007,Female,North Yorkshire,0,1,0,17.0,nan,4,8,Churn=No
63,D6960,Female,Greater Manchester,0,Unknown,1,13.0,nan,2,2,Churn=Yes
64,I2451,Female,Hampshire,1,1,1,6.0,nan,2,No reply,Churn=No
65,A5780,Female,Greater London,0,Unknown,0,11.0,nan,1,4,Churn=Yes
66,J9534,Male,Greater London,0,1,0,1.0,nan,1,2,Churn=Yes
67,A8444,Female,Greater Manchester,1,Unknown,0,2.0,nan,3,9,Churn=No
68,E1273,Male,West Midlands,0,1,0,11.0,nan,1,7,Churn=No
69,G9452,Male,Greater London,0,1,0,7.0,nan,2,6,Churn=No
70,J2501,Male,Hertfordshire,0,0,0,2.0,nan,1,3,Churn=Yes
71,B7044,Female,West Midlands,1,1,0,12.0,nan,1,8,Churn=No
72,H5260,Male,South Yorkshire,0,1,0,23.0,nan,4,4,Churn=No
73,F2184,Female,Lancashire,1,Unknown,0,11.0,nan,4,7,Churn=No
74,E4943,Female,Greater London,1,1,1,1.0,nan,2,3,Churn=Yes
75,A8348,Male,Greater London,0,Unknown,0,0.0,nan,1,1,Churn=Yes
76,K9169,Female,West Midlands,0,Unknown,0,11.0,nan,2,2,Churn=Yes
77,J7839,Female,Lancashire,1,1,0,18.0,nan,4,6,Churn=No
78,E9867,Female,Greater London,0,Unknown,0,0.0,nan,1,4,Churn=Yes
79,J2347,Female,West Yorkshire,0,Unknown,0,19.0,nan,1,3,Churn=No
80,B4166,Male,Greater London,0,1,0,4.0,nan,3,4,Churn=No
81,J5076,Female,Hampshire,1,Unknown,0,1.0,nan,3,3,Churn=Yes
82,C6562,Female,North Yorkshire,0,Unknown,0,22.0,nan,1,7,Churn=No
83,B6803,Male,Devon,0,0,0,0.0,nan,4,1,Churn=Yes
84,C3485,Male,Surrey,1,Unknown,0,18.0,nan,4,7,Churn=No
85,F7223,Female,West Midlands,1,1,0,8.0,nan,4,3,Churn=No
86,J9897,Male,Lancashire,1,1,0,15.0,nan,2,2,Churn=No
87,F5467,Female,Greater London,1,1,0,21.0,nan,4,5,Churn=No
88,D8098,Female,Greater London,0,1,0,21.0,nan,1,7,Churn=No
89,E5303,Male,Greater Manchester,0,0,0,1.0,nan,1,1,Churn=Yes
90,H2848,Male,Greater London,0,1,1,13.0,nan,2,2,Churn=Yes
91,B1431,Male,Hampshire,0,1,1,6.0,nan,2,5,Churn=No
92,D1868,Male,Hampshire,0,Unknown,0,-1.4142135623730951,nan,1,2,Churn=Yes
93,I7783,Female,Kent,1,0,1,12.0,nan,3,3,Churn=Yes
94,B1816,Female,Lancashire,0,1,0,0.0,nan,1,4,Churn=Yes
95,D4745,Female,Greater Manchester,1,0,0,0.0,nan,1,No reply,Churn=Yes
96,C4132,Male,Kent,1,Unknown,0,13.0,nan,4,5,Churn=No
97,H2116,Male,West Midlands,1,1,0,10.0,nan,1,6,Churn=No
98,D1821,Female,West Midlands,1,Unknown,0,5.0,nan,3,4,Churn=No
99,B1564,Male,North Yorkshire,1,1,0,17.0,nan,1,6,Churn=No
100,A6989,Male,Greater London,0,1,1,1.0,nan,2,0,Churn=Yes
101,D2332,Male,Essex,1,Unknown,1,15.0,nan,2,7,Churn=No
102,E5945,Female,Hampshire,1,1,0,17.0,nan,2,7,Churn=No
103,A3463,Male,Greater London,0,Unknown,0,7.0,nan,2,7,Churn=No
104,H3021,Male,South Yorkshire,1,1,0,26.0,nan,1,6,Churn=No
105,J6708,Male,Greater London,0,Unknown,0,16.0,nan,1,2,Churn=Yes
106,D2158,Female,Greater London,1,1,0,10.0,nan,1,5,Churn=No
107,K2811,Female,South Yorkshire,1,0,0,12.0,nan,4,1,Churn=Yes
108,A7742,Female,Greater London,1,0,0,1.0,nan,4,1,Churn=Yes
109,C6692,Male,Kent,1,1,0,9.0,nan,3,8,Churn=No
110,D4449,Male,Essex,0,Unknown,0,12.0,nan,1,8,Churn=No
111,J8791,Female,Hampshire,1,1,0,15.0,nan,3,7,Churn=No
112,J1311,Male,Hertfordshire,0,1,0,12.0,nan,1,8,Churn=No
113,H3295,Male,Merseyside,1,Unknown,0,2.0,nan,1,6,Churn=Yes
114,E7554,Female,West Midlands,0,1,0,11.0,nan,1,7,Churn=No
115,A2213,Female,Greater London,1,1,0,8.0,nan,3,5,Churn=No
116,C3853,Female,Greater London,1,Unknown,0,5.0,nan,2,7,Churn=No
117,C3106,Female,Greater London,0,1,1,11.0,nan,2,7,Churn=No
118,H7035,Male,Greater London,1,1,0,7.0,nan,1,5,Churn=No
119,F5301,Male,Greater Manchester,1,1,0,4.0,nan,4,8,Churn=No
120,A9806,Male,West Midlands,1,Unknown,0,5.0,nan,4,6,Churn=No
121,I8125,Female,Greater London,0,Unknown,0,3.0,nan,1,1,Churn=Yes
122,K7706,Male,West Midlands,1,Unknown,0,1.0,nan,1,No reply,Churn=Yes
123,E1606,Female,Greater London,0,0,0,1.0,nan,2,3,Churn=Yes
124,E1021,Male,West Midlands,0,0,0,2.0,nan,2,2,Churn=Yes
125,B8087,Female,Surrey,0,1,1,1.0,nan,1,6,Churn=No
126,I4789,Male,West Midlands,0,1,0,7.0,nan,1,1,Churn=No
127,K4105,Female,Greater London,0,Unknown,0,1.0,nan,1,3,Churn=Yes
128,G3846,Female,Greater London,1,1,0,16.0,nan,1,5,Churn=No
129,A1007,Male,Greater London,1,0,0,0.0,nan,4,No reply,Churn=Yes
130,A8807,Female,Essex,1,0,1,0.0,nan,2,1,Churn=Yes
131,E7225,Female,Greater Manchester,1,Unknown,0,20.0,nan,4,3,Churn=No
132,A9731,Female,Devon,0,0,1,0.0,nan,2,3,Churn=No
133,K5211,Female,West Midlands,0,0,1,10.0,nan,1,5,Churn=No
134,D6535,Female,Greater London,0,Unknown,0,0.0,nan,1,1,Churn=Yes
135,G7002,Male,Greater Manchester,1,1,0,11.0,nan,3,3,Churn=No
136,B6771,Male,Hertfordshire,0,Unknown,0,2.0,nan,2,5,Churn=Yes
137,D5947,Female,Hertfordshire,1,1,0,14.0,nan,4,8,Churn=No
138,G8495,Male,Greater London,1,Unknown,0,3.0,nan,4,2,Churn=Yes
139,J4676,Male,Greater London,1,0,1,12.0,nan,2,5,Churn=Yes
140,B5424,Male,Devon,0,Unknown,1,12.0,nan,2,3,Churn=Yes
141,J7980,Female,Merseyside,1,1,0,14.0,nan,1,7,Churn=No
142,I1125,Male,Lancashire,0,1,0,10.0,nan,2,7,Churn=No
143,I5339,Male,West Midlands,0,0,1,2.0,nan,2,2,Churn=Yes
144,G1507,Female,Greater London,1,0,1,18.0,nan,4,2,Churn=Yes
145,D6134,Male,Devon,1,1,0,1.0,nan,4,0,Churn=Yes
146,G8661,Female,Greater London,0,0,0,2.0,nan,1,No reply,Churn=Yes
147,K9285,Female,North Yorkshire,1,1,0,10.0,nan,3,6,Churn=No
148,C9627,Male,Greater Manchester,0,1,0,8.0,nan,1,4,Churn=No
149,F6233,Female,Greater Manchester,1,1,0,9.0,nan,4,8,Churn=No
150,A6651,Female,Greater London,1,1,0,6.0,nan,4,2,Churn=No
151,F7953,Female,Greater London,0,0,0,2.0,nan,1,2,Churn=Yes
152,I5491,Male,Hertfordshire,0,1,1,7.0,nan,2,8,Churn=No
153,B8023,Female,Greater London,0,1,0,6.0,nan,1,5,Churn=No
154,A1129,Male,Greater London,1,1,0,4.0,nan,3,2,Churn=Yes
155,H3303,Female,Hampshire,0,0,1,8.0,nan,2,3,Churn=No
156,I2156,Male,West Yorkshire,0,0,0,0.0,nan,1,2,Churn=Yes
157,A9321,Female,Greater London,1,Unknown,1,12.0,nan,2,0,Churn=No
158,J4465,Male,South Yorkshire,1,1,0,6.0,nan,2,5,Churn=No
159,B6499,Female,South Yorkshire,1,Unknown,0,19.0,nan,3,6,Churn=No
160,A4536,Female,Kent,1,Unknown,0,11.0,nan,1,3,Churn=No
161,B1218,Male,Greater London,0,Unknown,0,0.0,nan,1,3,Churn=Yes
162,H4278,Female,Greater London,0,1,1,11.0,nan,2,1,Churn=Yes
163,G9591,Male,Kent,1,1,0,22.0,nan,4,3,Churn=No
164,K6614,Male,Hampshire,1,Unknown,0,13.0,nan,3,2,Churn=Yes
165,B3175,Male,Lancashire,0,Unknown,0,5.0,nan,4,2,Churn=No
166,D7168,Female,Greater London,0,1,0,11.0,nan,1,5,Churn=No
167,H4363,Female,Greater London,0,Unknown,0,11.0,nan,1,6,Churn=No
168,J9304,Male,North Yorkshire,0,0,0,5.0,nan,1,3,Churn=Yes
169,G3243,Male,Lancashire,0,0,0,10.0,nan,1,0,Churn=Yes
170,H4302,Male,Greater London,1,1,0,14.0,nan,4,5,Churn=Yes
171,I8506,Male,Greater Manchester,0,1,0,8.0,nan,2,1,Churn=No
172,H5256,Male,Greater London,1,Unknown,0,5.0,nan,2,6,Churn=No
173,C6562,Female,North Yorkshire,0,Unknown,0,22.0,nan,1,7,Churn=No
174,J5725,Male,Surrey,1,1,0,14.0,nan,2,8,Churn=No
175,K1963,Male,West Yorkshire,1,1,0,13.0,$38772,3,7,
176,E5265,Female,South Yorkshire,0,0,0,12.0,nan,2,1,Churn=Yes
177,D1659,Female,Greater London,0,Unknown,0,0.0,nan,4,2,Churn=Yes
178,I4742,Female,Devon,1,1,0,16.0,nan,4,3,Churn=No
179,K3629,Male,Greater London,0,0,0,1.0,nan,1,4,Churn=Yes
180,A6141,Female,Greater Manchester,1,1,1,6.0,nan,2,7,Churn=No
181,B2662,Female,Hertfordshire,1,Unknown,0,21.0,nan,4,5,Churn=No
182,C5940,Male,West Midlands,0,Unknown,0,3.0,nan,1,3,Churn=Yes
183,I7384,Male,Hampshire,1,Unknown,0,6.0,nan,3,5,Churn=No
184,I6673,Male,Greater London,0,1,0,17.0,nan,1,5,Churn=No
185,F7365,Male,Essex,1,Unknown,0,0.0,nan,4,2,Churn=Yes
186,G7658,Female,Greater London,1,1,0,20.0,nan,4,2,Churn=No
187,J3881,Female,Essex,1,1,0,16.0,nan,4,4,Churn=No
188,F6416,Female,Hertfordshire,0,Unknown,0,16.0,nan,2,3,Churn=No
189,H2196,Female,Essex,0,Unknown,0,9.0,nan,3,5,Churn=Yes
190,A6005,Male,Greater London,0,0,0,1.0,nan,1,4,Churn=Yes
191,J1653,Male,Greater London,1,1,0,0.0,nan,3,7,Churn=No
192,H2750,Male,West Yorkshire,1,1,0,21.0,nan,3,7,Churn=No
193,D7365,Male,Greater Manchester,1,1,0,12.0,nan,1,7,Churn=No
194,K5082,Male,Greater London,1,1,0,13.0,nan,4,7,Churn=No
195,H3723,Female,West Midlands,0,Unknown,0,10.0,nan,1,2,Churn=No
196,F2043,Female,Greater London,0,1,0,18.0,nan,1,8,Churn=No
197,E5384,Male,West Yorkshire,1,1,0,11.0,nan,4,No reply,Churn=No
198,B2863,Female,Greater London,1,1,1,7.0,nan,2,1,Churn=Yes
199,H1727,Female,Lancashire,1,0,0,14.0,nan,1,8,Churn=No
200,D8180,Male,West Midlands,0,1,0,0.0,nan,1,7,Churn=Yes
201,K5323,Female,Essex,0,0,0,2.0,nan,4,4,Churn=Yes
202,F6454,Male,Essex,1,Unknown,0,16.0,nan,4,4,Churn=No
203,C5164,Male,Greater London,1,Unknown,0,16.0,nan,4,7,Churn=No
204,E6990,Male,Greater London,1,0,0,9.0,nan,3,No reply,Churn=No
205,G1526,Female,Kent,0,0,0,0.0,nan,1,1,Churn=Yes
206,K2705,Female,Greater London,0,0,0,1.0,nan,1,4,Churn=Yes
207,F9613,Male,Lancashire,1,1,0,6.0,nan,3,7,Churn=No
208,C7136,Male,Greater London,1,1,0,8.0,nan,4,9,Churn=No
209,F7794,Female,Greater London,1,Unknown,1,16.0,nan,2,4,Churn=No
210,H6197,Female,Merseyside,1,1,0,8.0,nan,3,3,Churn=No
211,A7109,Female,Greater London,1,1,0,4.0,nan,4,8,Churn=No
212,K2303,Male,Greater London,0,1,0,16.0,nan,3,7,Churn=No
213,I8440,Female,Greater London,0,1,0,16.0,nan,1,8,Churn=No
214,H8853,Female,Greater London,1,0,0,7.0,nan,3,9,Churn=No
215,G3511,Male,Greater London,0,Unknown,0,2.0,nan,2,0,Churn=Yes
216,J3445,Male,West Yorkshire,0,0,0,0.0,nan,1,1,Churn=Yes
217,E5578,Male,West Midlands,0,0,1,0.0,nan,2,7,Churn=No
218,C5823,Female,Greater Manchester,0,0,0,16.0,nan,1,2,Churn=Yes
219,B5424,Male,Devon,0,Unknown,1,12.0,nan,2,3,Churn=Yes
220,F7808,Female,West Yorkshire,1,Unknown,0,18.0,nan,2,2,Churn=No
221,I8125,Male,Hampshire,1,0,0,23.0,nan,3,8,Churn=No
222,G7691,Female,Essex,1,1,0,13.0,nan,3,6,Churn=No
223,H7617,Female,Merseyside,1,Unknown,0,11.0,nan,3,6,Churn=No
224,E4804,Male,Greater London,1,1,0,11.0,nan,1,No reply,Churn=No
225,B3344,Female,Greater Manchester,0,0,0,0.0,nan,1,0,Churn=Yes
226,D9690,Male,Hampshire,1,Unknown,0,14.0,nan,1,6,Churn=No
227,E9047,Female,Hampshire,1,1,0,2.0,nan,2,No reply,Churn=No
228,J5601,Female,Hampshire,1,0,0,10.0,nan,3,1,Churn=Yes
229,E2916,Female,Greater London,1,1,0,10.0,nan,2,6,Churn=No
230,K6733,Female,North Yorkshire,1,Unknown,0,11.0,nan,1,5,Churn=No
231,I1455,Female,Lancashire,0,1,0,8.0,nan,1,6,Churn=No
232,I2714,Female,Devon,1,Unknown,1,8.0,nan,2,3,Churn=Yes
233,J4939,Female,Greater London,1,1,0,1.0,nan,2,1,Churn=No
234,A6882,Male,Greater London,0,Unknown,0,13.0,nan,1,7,Churn=No
235,I9261,Male,Essex,1,Unknown,1,2.0,nan,2,5,Churn=Yes
236,B1665,Male,North Yorkshire,1,1,0,4.0,nan,1,2,Churn=No
237,J5091,Female,Kent,1,1,0,12.0,nan,3,5,Churn=No
238,G6108,Female,Greater London,1,1,0,0.0,nan,2,9,Churn=No
239,E4287,Male,Merseyside,1,1,0,13.0,nan,3,1,Churn=No
240,K3590,Female,Greater London,0,0,0,1.0,nan,2,4,Churn=Yes
241,D8626,Female,Surrey,0,1,0,3.0,nan,1,2,Churn=Yes
242,B6694,Male,Surrey,1,1,0,19.0,nan,4,4,Churn=No
243,C1169,Female,Hampshire,1,1,0,9.0,nan,3,6,Churn=No
244,B8647,Female,Greater Manchester,1,1,0,8.0,nan,4,8,Churn=No
245,B2922,Female,Greater London,0,0,0,0.0,nan,4,1,Churn=Yes
246,B5137,Male,North Yorkshire,0,1,0,9.0,nan,4,6,Churn=No
247,F4203,Male,Essex,1,1,0,12.0,nan,3,3,Churn=No
248,A6859,Male,Greater London,1,1,0,6.0,nan,4,6,Churn=No
249,F8454,Female,Greater London,1,1,0,12.0,nan,4,5,Churn=No
250,H7043,Male,Greater London,0,Unknown,0,1.0,nan,2,3,Churn=Yes
251,F5902,Female,Lancashire,1,1,0,10.0,nan,4,6,Churn=No
252,J8791,Male,Hertfordshire,1,Unknown,0,9.0,nan,4,6,Churn=No
253,H7062,Male,Lancashire,1,Unknown,0,9.0,nan,4,No reply,Churn=No
254,D5811,Male,Merseyside,1,Unknown,0,2.0,nan,2,7,Churn=No
255,C1967,Male,West Midlands,1,1,0,7.0,nan,1,7,Churn=No
256,A1735,Male,Greater London,0,1,0,0.0,nan,2,2,Churn=Yes
257,H9297,Male,Greater London,1,Unknown,0,10.0,nan,2,5,Churn=No
258,K8028,Male,Greater London,0,1,0,7.0,nan,1,4,Churn=No
259,F2236,Female,West Midlands,0,Unknown,0,1.0,nan,3,2,Churn=Yes
260,E4249,Female,Hampshire,0,Unknown,0,9.0,nan,1,3,Churn=No
261,F9108,Female,Greater London,1,0,1,18.0,nan,2,6,Churn=No
262,E3493,Female,West Yorkshire,0,Unknown,0,4.0,nan,1,4,Churn=Yes
263,A1925,Female,Lancashire,0,0,0,0.0,nan,2,No reply,Churn=Yes
264,G6973,Female,Merseyside,0,Unknown,0,16.0,nan,1,6,Churn=No
265,J7639,Male,South Yorkshire,0,0,0,0.0,nan,1,No reply,Churn=Yes
266,D6903,Male,North Yorkshire,1,1,1,11.0,nan,2,8,Churn=No
267,I9226,Male,Merseyside,0,1,0,15.0,nan,1,7,Churn=No
268,E7299,Female,South Yorkshire,0,Unknown,1,8.0,nan,2,6,Churn=No
269,E8382,Male,Greater London,0,Unknown,0,3.0,nan,2,No reply,Churn=Yes
270,G8170,Male,Greater London,0,1,0,14.0,nan,1,6,Churn=No
271,G7644,Male,Greater Manchester,0,1,0,0.0,nan,1,2,Churn=No
272,H4709,Female,Kent,0,1,0,10.0,nan,1,No reply,Churn=No
273,C1541,Female,South Yorkshire,1,Unknown,0,12.0,nan,3,6,Churn=No
274,G8742,Male,Greater London,0,0,1,9.0,nan,2,7,Churn=No
275,J6110,Male,West Midlands,1,1,0,19.0,nan,4,7,Churn=No
276,G9124,Male,Greater Manchester,1,0,0,5.0,nan,3,3,Churn=Yes
277,A8199,Female,Surrey,1,1,0,2.0,nan,4,1,Churn=Yes
278,D6283,Female,North Yorkshire,0,0,0,1.0,nan,2,1,Churn=Yes
279,K2452,Male,Greater London,0,1,0,3.0,nan,2,6,Churn=No
280,K8088,Female,West Yorkshire,0,1,0,16.0,nan,1,4,Churn=No
281,E2720,Female,Lancashire,0,0,0,4.0,nan,4,3,Churn=Yes
282,G4992,Male,Devon,1,1,0,1.0,nan,3,6,Churn=No
283,E5636,Male,West Yorkshire,0,0,1,0.0,nan,2,6,Churn=No
284,I2667,Male,Kent,1,1,1,8.0,nan,2,2,Churn=No
285,J9222,Female,West Yorkshire,1,1,0,19.0,nan,4,6,Churn=No
286,F3295,Male,Greater London,0,Unknown,1,10.0,nan,2,2,Churn=Yes
287,J2319,Male,West Yorkshire,0,1,0,2.0,nan,1,2,Churn=Yes
288,K4631,Male,Greater Manchester,1,1,1,5.0,nan,4,7,Churn=No
289,H1783,Male,Hertfordshire,1,1,0,5.0,nan,4,6,Churn=No
290,G9720,Male,West Midlands,1,1,0,2.0,nan,2,10,Churn=No
291,D5708,Male,Essex,1,Unknown,0,15.0,nan,2,4,Churn=No
292,J6725,Female,Greater Manchester,1,1,1,2.0,nan,3,6,Churn=No
293,C5919,Male,Hampshire,0,0,0,-3.0,nan,4,6,Churn=No
294,B4819,Female,Greater London,0,Unknown,0,5.0,nan,1,7,Churn=No
295,J1471,Male,Essex,1,1,0,16.0,nan,2,6,Churn=No
296,E7358,Female,Greater London,0,0,1,2.0,nan,2,6,Churn=No
297,I8292,Male,Greater London,0,1,0,20.0,nan,2,7,Churn=No
298,J2196,Female,Greater Manchester,1,1,0,11.0,nan,4,7,Churn=No
299,A9935,Female,Greater London,0,0,0,4.0,nan,1,4,Churn=Yes
300,K2650,Female,Greater London,0,1,0,23.0,nan,4,5,Churn=No
301,K8574,Female,West Yorkshire,1,Unknown,1,0.0,nan,2,5,Churn=No
302,B6778,Female,West Yorkshire,1,Unknown,0,14.0,nan,4,No reply,Churn=No
303,H9732,Female,Lancashire,1,Unknown,1,7.0,nan,2,7,Churn=No
304,F7018,Female,Kent,0,1,0,6.0,nan,1,6,Churn=No
305,G8557,Female,Greater London,0,0,0,2.0,nan,1,1,Churn=Yes
306,F6130,Male,Greater London,1,0,0,10.0,nan,1,2,Churn=Yes
307,F7956,Male,Hampshire,0,1,0,18.0,nan,1,5,Churn=No
308,H4855,Male,Greater London,1,1,0,11.0,nan,4,3,Churn=No
309,D7218,Female,Hertfordshire,0,1,0,16.0,nan,1,7,Churn=No
310,G6693,Female,Essex,1,1,1,10.0,nan,2,5,Churn=No
311,B1389,Female,Devon,1,1,0,4.0,nan,1,7,Churn=No
312,F9438,Male,Greater London,0,1,0,16.0,nan,2,6,Churn=No
313,E5528,Male,North Yorkshire,0,Unknown,0,2.0,nan,1,0,Churn=Yes
314,K7288,Female,West Midlands,1,0,0,10.0,nan,4,6,Churn=No
315,D7244,Male,Greater London,0,1,0,10.0,nan,2,1,Churn=No
316,C7258,Female,Surrey,0,1,0,0.0,nan,4,1,Churn=Yes
317,F3441,Female,West Yorkshire,1,1,0,7.0,nan,2,7,Churn=No
318,G1156,Female,Greater London,0,0,1,5.0,nan,2,7,Churn=No
319,H3320,Male,Greater London,1,1,0,18.0,nan,4,3,Churn=No
320,H9074,Female,Greater London,1,1,0,13.0,nan,2,8,Churn=No
321,A4298,Female,Essex,0,1,0,16.0,nan,1,No reply,Churn=No
322,D7765,Male,Greater London,1,1,0,1.0,nan,4,7,Churn=No
323,J7551,Female,Kent,1,Unknown,0,17.0,nan,3,5,Churn=No
324,J1663,Female,Greater London,1,Unknown,1,9.0,nan,2,4,Churn=No
325,F8725,Female,West Yorkshire,1,1,0,16.0,nan,1,8,Churn=No
326,H6063,Female,North Yorkshire,0,1,0,7.0,nan,1,6,Churn=No
327,D2569,Female,North Yorkshire,1,1,0,1.0,nan,2,4,Churn=No
328,C3854,Female,Hampshire,0,Unknown,0,3.0,nan,1,5,Churn=No
329,A7668,Female,Greater London,1,Unknown,0,16.0,nan,3,No reply,Churn=No
330,G7998,Male,West Yorkshire,1,Unknown,1,10.0,nan,2,No reply,Churn=Yes
331,J6127,Female,Greater Manchester,1,1,0,14.0,nan,1,6,Churn=No
332,B1677,Male,Greater London,0,Unknown,0,8.0,nan,1,8,Churn=No
333,E2235,Female,North Yorkshire,1,1,0,7.0,nan,4,0,Churn=No
334,K6840,Female,Merseyside,0,1,0,8.0,nan,2,6,Churn=No
335,G8259,Female,Greater London,0,0,0,0.0,nan,2,2,Churn=Yes
336,I5858,Male,Greater Manchester,1,1,0,17.0,nan,1,8,Churn=No
337,E5422,Female,Kent,1,1,0,10.0,nan,1,No reply,Churn=No
338,A5152,Female,West Midlands,1,Unknown,1,17.0,nan,2,5,Churn=No
339,G9519,Male,West Midlands,1,Unknown,0,10.0,nan,4,5,Churn=No
340,D3441,Female,Essex,0,1,0,14.0,nan,3,6,Churn=No
341,A7594,Male,Greater London,1,1,1,4.0,nan,1,7,Churn=No
342,K9801,Male,West Midlands,0,0,1,10.0,nan,3,6,Churn=No
343,I5767,Female,Hertfordshire,0,Unknown,0,10.0,nan,2,5,Churn=No
344,H1728,Male,Essex,0,1,0,7.0,nan,1,6,Churn=No
345,A9154,Female,Lancashire,1,Unknown,0,16.0,nan,1,3,Churn=No
346,D9228,Male,Greater London,1,1,0,3.0,nan,3,4,Churn=No
347,G2370,Female,West Midlands,0,1,0,12.0,nan,2,4,Churn=No
348,I2519,Female,Devon,1,Unknown,0,1.0,nan,1,7,Churn=No
349,B2569,Male,Hertfordshire,1,1,1,0.0,nan,2,4,Churn=No
350,E3256,Male,Essex,1,1,0,11.0,nan,4,6,Churn=No
